lon,lat
-118.4451344,34.2055165
-118.445469,34.1931318
-119.7261794,36.7168717
-122.233237,40.193574
-122.2270366,40.1772372
-121.2995809,37.9303468
-117.9553534,33.8500995
-121.3468991,38.570836
-121.9430063,38.0114686
-121.7090233,37.932258
-118.1334655,33.8204487
-118.3203715,34.0340722
-117.0790666,32.6428264
-121.7561649,37.9557742
-117.1192654,32.7005669
-117.1306461,32.9215708
-121.5386323,39.1153404
-119.0584228,36.0928476
-122.0544605,38.2558832
-117.8533726,34.0733388
-118.8593202,36.1046974
-118.3251549,33.9484027
-117.0294695,32.6829846
-121.3487149,38.5951053
-118.1460196,34.7105018
-118.2050567,34.0916004
-121.4151956,38.6949332
-118.9422011,35.4062251
-118.9540506,35.4100021
-118.953987,35.387056
-119.3143892,35.41236740000001
-118.9574561,35.3870616
-122.2577998,38.1112162
-118.2345472,34.1654462
-121.8201483,37.2789778
-116.8993399,32.832001
-119.8793753,34.4349942
-122.44787,37.635684
-121.3163621,37.92569100000001
-121.4488599,38.3843304
-116.99683,32.6488889
-118.3645849,34.2790694
-118.2332921,34.0646423
-117.9113246,33.737054
-118.1540457,34.1765311
-120.0630147,36.7308913
-118.0312408,33.9126632
-122.1261117,37.6819196
-117.262682,33.932267
-121.8766519,37.3372678
-121.8766938,37.33703819999999
-122.705117,38.439361
-118.255263,34.122028
-118.1061819,33.9058628
-122.5224685,37.9776694
NA,NA
-118.188458,34.6970127
-121.4504608,38.6349888
-121.4358277,38.6544199
-118.3605076,34.0330397
-118.3461823,33.9830122
-119.8920178,36.797723
-119.8959167,36.801749
-119.8196308,36.7655
-119.1169193,35.4267439
NA,NA
-121.5530781,39.0931761
-121.6232093,39.1449097
-117.0992285,33.0850719
-118.2759558,34.162378
-118.2055226,34.139084
-117.4794514,33.9163458
-117.4993435,33.9237446
NA,NA
-122.0776258,37.56631780000001
-117.4063878,34.1105886
-118.0909837,33.8878742
-117.1977956,33.8361769
-117.0120885,33.760958
-117.012048,33.7638315
-118.3047859,34.0118256
-118.3143385,34.0101516
-118.2928726,33.9816389
-122.2309539,37.4767547
-122.9454619,40.7357094
-116.7828082,32.8335367
-117.3974595,34.087181
-121.4081579,38.5993082
-117.2217031,33.2058162
-117.2196141,33.1964858
-118.9666607,35.3914423
-117.8406898,33.8134968
-122.1233211,37.7519793
